Country,Continent,Area,Population,Capital City
Togo,Africa,56785.0,8278737,Lomé
Mayotte,Africa,374.0,226915,Mamoudzou
Georgia,Asia,69700.0,3714000,Tbilisi
Vanuatu,Oceania,12189.0,307150,Port Vila
Kyrgyzstan,Asia,199951.0,6591600,Bishkek
Niger,Africa,1267000.0,24206636,Niamey
China,Asia,9706961.0,1402112000,Beijing
Tuvalu,Oceania,26.0,11792,Funafuti
Comoros,Africa,1862.0,869595,Moroni
Bosnia and Herzegovina,Europe,51209.0,3280815,Sarajevo
Bahrain,Asia,765.0,1701583,Manama
Somalia,Africa,637657.0,15893219,Mogadishu
Saint Barthélemy,Americas,21.0,4255,Gustavia
Latvia,Europe,64559.0,1901548,Riga
Cayman Islands,Americas,264.0,65720,George Town
Netherlands,Europe,41850.0,16655799,Amsterdam
Lesotho,Africa,30355.0,2142252,Maseru
Venezuela,Americas,916445.0,28435943,Caracas
Kenya,Africa,580367.0,53771300,Nairobi
Turkey,Asia,783562.0,84339067,Ankara
Fiji,Oceania,18272.0,896444,Suva
Trinidad and Tobago,Americas,5130.0,1399491,Port of Spain
Honduras,Americas,112492.0,9904608,Tegucigalpa
Jersey,Europe,116.0,100800,Saint Helier
Djibouti,Africa,23200.0,988002,Djibouti
Réunion,Africa,2511.0,840974,Saint-Denis
Eswatini,Africa,17364.0,1160164,Mbabane
Tajikistan,Asia,143100.0,9537642,Dushanbe
Saudi Arabia,Asia,2149690.0,34813867,Riyadh
Bermuda,Americas,54.0,63903,Hamilton
New Zealand,Oceania,270467.0,5084300,Wellington
Belarus,Europe,207600.0,9398861,Minsk
Christmas Island,Oceania,135.0,2072,Flying Fish Cove
Gambia,Africa,10689.0,2416664,Banjul
French Polynesia,Oceania,4167.0,280904,Papeetē
DR Congo,Africa,2344858.0,108407721,Kinshasa
Costa Rica,Americas,51100.0,5094114,San José
Malawi,Africa,118484.0,19129955,Lilongwe
Republic of the Congo,Africa,342000.0,5657000,Brazzaville
Oman,Asia,309500.0,5106622,Muscat
Iraq,Asia,438317.0,40222503,Baghdad
Niue,Oceania,260.0,1470,Alofi
Senegal,Africa,196722.0,16743930,Dakar
Lebanon,Asia,10452.0,6825442,Beirut
Angola,Africa,1246700.0,32866268,Luanda
Iran,Asia,1648195.0,83992953,Tehran
Ecuador,Americas,276841.0,17643060,Quito
Laos,Asia,236800.0,7275556,Vientiane
Sri Lanka,Asia,65610.0,21919000,Sri Jayawardenepura Kotte
Aruba,Americas,180.0,106766,Oranjestad
São Tomé and Príncipe,Africa,964.0,219161,São Tomé
Grenada,Americas,344.0,112519,St. George's
Montserrat,Americas,102.0,4922,Plymouth
Western Sahara,Africa,266000.0,510713,El Aaiún
Guinea,Africa,245857.0,13132792,Conakry
British Virgin Islands,Americas,151.0,30237,Road Town
Panama,Americas,75417.0,4314768,Panama City
Yemen,Asia,527968.0,29825968,Sana'a
Estonia,Europe,45227.0,1331057,Tallinn
Guyana,Americas,214969.0,786559,Georgetown
Luxembourg,Europe,2586.0,632275,Luxembourg
Namibia,Africa,825615.0,2540916,Windhoek
Kosovo,Europe,10908.0,1775378,Pristina
New Caledonia,Oceania,18575.0,271960,Nouméa
Saint Pierre and Miquelon,Americas,242.0,6069,Saint-Pierre
Libya,Africa,1759540.0,6871287,Tripoli
Myanmar,Asia,676578.0,54409794,Naypyidaw
Israel,Asia,20770.0,9216900,Jerusalem
Mali,Africa,1240192.0,20250834,Bamako
Argentina,Americas,2780400.0,45376763,Buenos Aires
French Guiana,Americas,83534.0,254541,Cayenne
Uganda,Africa,241550.0,45741000,Kampala
Malaysia,Asia,330803.0,32365998,Kuala Lumpur
Zambia,Africa,752612.0,18383956,Lusaka
Micronesia,Oceania,702.0,115021,Palikir
Slovakia,Europe,49037.0,5458827,Bratislava
Burundi,Africa,27834.0,11890781,Gitega
Serbia,Europe,88361.0,6908224,Belgrade
Turkmenistan,Asia,488100.0,6031187,Ashgabat
South Africa,Africa,1221037.0,59308690,Pretoria
Kazakhstan,Asia,2724900.0,18754440,Astana
Canada,Americas,9984670.0,38005238,Ottawa
Poland,Europe,312679.0,37950802,Warsaw
Puerto Rico,Americas,8870.0,3194034,San Juan
Cocos (Keeling) Islands,Oceania,14.0,544,West Island
San Marino,Europe,61.0,33938,City of San Marino
American Samoa,Oceania,199.0,55197,Pago Pago
Qatar,Asia,11586.0,2881060,Doha
Gibraltar,Europe,6.0,33691,Gibraltar
Croatia,Europe,56594.0,4047200,Zagreb
Svalbard and Jan Mayen,Europe,61399.0,2562,Longyearbyen
Isle of Man,Europe,572.0,85032,Douglas
Palestine,Asia,6220.0,4803269,Ramallah
Mauritius,Africa,2040.0,1265740,Port Louis
Saint Martin,Americas,53.0,38659,Marigot
Sierra Leone,Africa,71740.0,7976985,Freetown
Saint Kitts and Nevis,Americas,261.0,53192,Basseterre
Iceland,Europe,103000.0,366425,Reykjavik
Kuwait,Asia,17818.0,4270563,Kuwait City
Taiwan,Asia,36193.0,23503349,Taipei
Cameroon,Africa,475442.0,26545864,Yaoundé
El Salvador,Americas,21041.0,6486201,San Salvador
Cuba,Americas,109884.0,11326616,Havana
Brazil,Americas,8515767.0,212559409,Brasília
Solomon Islands,Oceania,28896.0,686878,Honiara
Greece,Europe,131990.0,10715549,Athens
Norway,Europe,323802.0,5379475,Oslo
Jamaica,Americas,10991.0,2961161,Kingston
Tanzania,Africa,945087.0,59734213,Dodoma
Bolivia,Americas,1098581.0,11673029,Sucre
Cyprus,Europe,9251.0,1207361,Nicosia
Mongolia,Asia,1564110.0,3278292,Ulan Bator
Monaco,Europe,2.02,39244,Monaco
Tunisia,Africa,163610.0,11818618,Tunis
French Southern and Antarctic Lands,Antarctic,7747.0,400,Port-aux-Français
Syria,Asia,185180.0,17500657,Damascus
Chile,Americas,756102.0,19116209,Santiago
Azerbaijan,Asia,86600.0,10110116,Baku
France,Europe,551695.0,67391582,Paris
South Korea,Asia,100210.0,51780579,Seoul
Ghana,Africa,238533.0,31072945,Accra
Denmark,Europe,43094.0,5831404,Copenhagen
Sint Maarten,Americas,34.0,40812,Philipsburg
Andorra,Europe,468.0,77265,Andorra la Vella
Curaçao,Americas,444.0,155014,Willemstad
Switzerland,Europe,41284.0,8654622,Bern
North Macedonia,Europe,25713.0,2077132,Skopje
South Sudan,Africa,619745.0,11193729,Juba
Haiti,Americas,27750.0,11402533,Port-au-Prince
Peru,Americas,1285216.0,32971846,Lima
Guinea-Bissau,Africa,36125.0,1967998,Bissau
